Id,Email,Firstname,Lastname,Country,CreateOn,DeliveryDate,OrderStatus_code,ImageUrl
005638984K-1, manolo.benitez25@email.com, MANOLO, BENITEZ, COLOMBIA, 2000-12-11, 2001-01-15T09:30:00Z,Open, https://static.vecteezy.com/system/resources/previews/024/366/278/non_2x/logo-technology-digital-tech-business-logo-template-concept-illustration-gear-electronic-factory-sign-cog-wheel-technology-symbol-seo-emblem-design-element-free-vector.jpg
007892345L-2, carlos.rodriguez88@email.com, CARLOS, RODRÍGUEZ, ARGENTINA, 1998-11-25, 1999-12-01T14:20:00Z,Canceled, https://st4.depositphotos.com/1030956/22135/v/450/depositphotos_221359370-stock-illustration-vector-circuit-board-digital-technologies.jpg
003217896M-3, ana.martinez42@email.com, ANA, MARTÍNEZ, MÉXICO, 2001-05-15, 2001-06-22T16:45:00Z,Canceled, https://st4.depositphotos.com/1030956/22135/v/450/depositphotos_221359370-stock-illustration-vector-circuit-board-digital-technologies.jpg
009876543S-4, javier.lopez33@email.com, JAVIER, LÓPEZ, CHILE, 2002-08-19, 2002-09-30T11:00:00Z,Completed, https://static.vecteezy.com/system/resources/previews/024/366/278/non_2x/logo-technology-digital-tech-business-logo-template-concept-illustration-gear-electronic-factory-sign-cog-wheel-technology-symbol-seo-emblem-design-element-free-vector.jpg
002345678T-5, laura.gomez77@email.com, LAURA, GÓMEZ, PERÚ, 1997-03-12, 1997-04-18T13:15:00Z,Open, https://images.vexels.com/media/users/3/312395/raw/3e562728ad66f866806b99fb10fccf84-diseno-de-logotipo-de-empresa-de-dispositivos-tecnologicos.jpg
004567891R-6, pedro.sanchez91@email.com, PEDRO, SÁNCHEZ, URUGUAY, 2000-11-30, 2001-01-15T10:30:00Z,Completed, https://static.vecteezy.com/system/resources/previews/024/366/278/non_2x/logo-technology-digital-tech-business-logo-template-concept-illustration-gear-electronic-factory-sign-cog-wheel-technology-symbol-seo-emblem-design-element-free-vector.jpg
006789123P-7, sofia.hernandez55@email.com, SOFÍA, HERNÁNDEZ, ECUADOR, 1999-12-24, 2000-01-10T15:50:00Z,Canceled, https://images.vexels.com/media/users/3/312395/raw/3e562728ad66f866806b99fb10fccf84-diseno-de-logotipo-de-empresa-de-dispositivos-tecnologicos.jpg
001234567Q-8, david.moreno22@email.com, DAVID, MORENO, COSTA RICA, 2001-04-05, 2001-05-20T08:00:00Z,Completed, https://png.pngtree.com/png-clipart/20210309/original/pngtree-natural-eco-electronic-logo-png-image_5825644.jpg
008765432U-9, elena.castro44@email.com, ELENA, CASTRO, PUERTO RICO, 1998-06-17, 1998-07-25T17:30:00Z,Open, https://images.vexels.com/media/users/3/312395/raw/3e562728ad66f866806b99fb10fccf84-diseno-de-logotipo-de-empresa-de-dispositivos-tecnologicos.jpg
005432189V-10, jorge.diaz66@email.com, JORGE, DÍAZ, REPÚBLICA DOMINICANA, 2000-03-08, 2000-04-12T12:10:00Z, Canceled, https://images.vexels.com/media/users/3/312395/raw/3e562728ad66f866806b99fb10fccf84-diseno-de-logotipo-de-empresa-de-dispositivos-tecnologicos.jpg
003456782W-11, isabel.ruiz99@email.com, ISABEL, RUIZ, PANAMÁ, 1997-09-14, 1997-10-30T09:45:00Z,Completed, https://images.vexels.com/media/users/3/312395/raw/3e562728ad66f866806b99fb10fccf84-diseno-de-logotipo-de-empresa-de-dispositivos-tecnologicos.jpg
007654321X-12, manuel.torres11@email.com, MANUEL, TORRES, BOLIVIA, 2001-02-28, 2001-04-05T14:00:00Z,Completed, https://png.pngtree.com/png-clipart/20210309/original/pngtree-natural-eco-electronic-logo-png-image_5825644.jpg
